Source,T1,Destination,T2,Seq,Latency
10.136.5.2,1697910874,10.143.3.2,1697910874,701,62713146
10.129.129.2,1697910874,10.143.3.2,1697910874,621,51816218
10.136.5.2,1697910875,10.143.3.2,1697910875,702,62684997
10.129.129.2,1697910875,10.143.3.2,1697910875,622,51792202
10.136.5.2,1697910876,10.143.3.2,1697910876,703,62699063
10.129.129.2,1697910876,10.143.3.2,1697910876,623,51811584
10.136.5.2,1697910877,10.143.3.2,1697910877,704,62667002
10.129.129.2,1697910877,10.143.3.2,1697910877,624,51802982
10.136.5.2,1697910878,10.143.3.2,1697910878,705,62647364
10.129.129.2,1697910878,10.143.3.2,1697910878,625,51792797
10.136.5.2,1697910879,10.143.3.2,1697910879,706,62705528
10.129.129.2,1697910879,10.143.3.2,1697910879,626,51788191
10.136.5.2,1697910880,10.143.3.2,1697910880,707,62672072
10.129.129.2,1697910880,10.143.3.2,1697910880,627,51811622
10.136.5.2,1697910881,10.143.3.2,1697910881,708,62688481
10.129.129.2,1697910881,10.143.3.2,1697910881,628,51793045
10.136.5.2,1697910882,10.143.3.2,1697910882,709,62654544
10.129.129.2,1697910882,10.143.3.2,1697910882,629,51796474
10.136.5.2,1697910883,10.143.3.2,1697910883,710,62667779
10.129.129.2,1697910883,10.143.3.2,1697910883,630,51825829
10.136.5.2,1697910884,10.143.3.2,1697910884,711,62657154
10.129.129.2,1697910884,10.143.3.2,1697910884,631,51813536
10.136.5.2,1697910885,10.143.3.2,1697910885,712,62667004
10.129.129.2,1697910885,10.143.3.2,1697910885,632,51810768
10.136.5.2,1697910886,10.143.3.2,1697910886,713,62678683
10.129.129.2,1697910886,10.143.3.2,1697910886,633,51801311
10.136.5.2,1697910887,10.143.3.2,1697910887,714,62695169
10.129.129.2,1697910887,10.143.3.2,1697910887,634,51810561
10.136.5.2,1697910888,10.143.3.2,1697910888,715,62655029
10.129.129.2,1697910888,10.143.3.2,1697910888,635,51826608
10.136.5.2,1697910889,10.143.3.2,1697910889,716,62690122
10.129.129.2,1697910889,10.143.3.2,1697910889,636,51794421
10.136.5.2,1697910890,10.143.3.2,1697910890,717,62672901
10.129.129.2,1697910890,10.143.3.2,1697910890,637,51824743
10.136.5.2,1697910891,10.143.3.2,1697910891,718,62651559
10.129.129.2,1697910891,10.143.3.2,1697910891,638,51796834
10.136.5.2,1697910892,10.143.3.2,1697910892,719,62649042
10.129.129.2,1697910892,10.143.3.2,1697910892,639,51808463
10.136.5.2,1697910893,10.143.3.2,1697910893,720,62666983
10.129.129.2,1697910893,10.143.3.2,1697910893,640,51795774
10.136.5.2,1697910894,10.143.3.2,1697910894,721,62647520
10.129.129.2,1697910894,10.143.3.2,1697910894,641,51796607
10.136.5.2,1697910895,10.143.3.2,1697910895,722,62706382
10.129.129.2,1697910895,10.143.3.2,1697910895,642,51795558
10.136.5.2,1697910896,10.143.3.2,1697910896,723,62688450
10.129.129.2,1697910896,10.143.3.2,1697910896,643,51796634
10.136.5.2,1697910897,10.143.3.2,1697910897,724,62647327
10.129.129.2,1697910897,10.143.3.2,1697910897,644,51793285
10.136.5.2,1697910898,10.143.3.2,1697910898,725,62673422
10.129.129.2,1697910898,10.143.3.2,1697910898,645,51794037
10.136.5.2,1697910899,10.143.3.2,1697910899,726,62655500
10.129.129.2,1697910899,10.143.3.2,1697910899,646,51791637
10.136.5.2,1697910900,10.143.3.2,1697910900,727,62673287
10.129.129.2,1697910900,10.143.3.2,1697910900,647,51792259
10.136.5.2,1697910901,10.143.3.2,1697910901,728,62687391
10.129.129.2,1697910901,10.143.3.2,1697910901,648,51792147
10.136.5.2,1697910902,10.143.3.2,1697910902,729,62654249
10.129.129.2,1697910902,10.143.3.2,1697910902,649,51808843
10.136.5.2,1697910903,10.143.3.2,1697910903,730,62719757
10.129.129.2,1697910903,10.143.3.2,1697910903,650,51789626
10.136.5.2,1697910904,10.143.3.2,1697910904,731,62691801
10.129.129.2,1697910904,10.143.3.2,1697910904,651,51792182
10.136.5.2,1697910905,10.143.3.2,1697910905,732,62664016
10.129.129.2,1697910905,10.143.3.2,1697910905,652,51804277
10.136.5.2,1697910906,10.143.3.2,1697910906,733,62654661
10.129.129.2,1697910906,10.143.3.2,1697910906,653,51809210
10.136.5.2,1697910907,10.143.3.2,1697910907,734,62703960
10.129.129.2,1697910907,10.143.3.2,1697910907,654,51792845
10.136.5.2,1697910908,10.143.3.2,1697910908,735,62728660
10.129.129.2,1697910908,10.143.3.2,1697910908,655,51792248
10.136.5.2,1697910909,10.143.3.2,1697910909,736,62650885
10.129.129.2,1697910909,10.143.3.2,1697910909,656,51791197
10.136.5.2,1697910910,10.143.3.2,1697910910,737,62700259
10.129.129.2,1697910910,10.143.3.2,1697910910,657,51804298
10.136.5.2,1697910911,10.143.3.2,1697910911,738,62630119
10.129.129.2,1697910911,10.143.3.2,1697910911,658,51792133
10.136.5.2,1697910912,10.143.3.2,1697910912,739,62707462
10.129.129.2,1697910912,10.143.3.2,1697910912,659,51838943
10.136.5.2,1697910913,10.143.3.2,1697910913,740,62668530
10.129.129.2,1697910913,10.143.3.2,1697910913,660,51795880
10.136.5.2,1697910914,10.143.3.2,1697910914,741,62661554
10.129.129.2,1697910914,10.143.3.2,1697910914,661,51795155
10.136.5.2,1697910915,10.143.3.2,1697910915,742,62646259
10.129.129.2,1697910915,10.143.3.2,1697910915,662,51794561
10.136.5.2,1697910916,10.143.3.2,1697910916,743,62742064
10.129.129.2,1697910916,10.143.3.2,1697910916,663,51806086
10.136.5.2,1697910917,10.143.3.2,1697910917,744,62661213
10.129.129.2,1697910917,10.143.3.2,1697910917,664,51793802
10.136.5.2,1697910918,10.143.3.2,1697910918,745,62655747
10.129.129.2,1697910918,10.143.3.2,1697910918,665,51795792
10.136.5.2,1697910919,10.143.3.2,1697910919,746,62688339
10.129.129.2,1697910919,10.143.3.2,1697910919,666,51806316
10.136.5.2,1697910920,10.143.3.2,1697910920,747,62648839
10.129.129.2,1697910920,10.143.3.2,1697910920,667,51792593
10.136.5.2,1697910921,10.143.3.2,1697910921,748,62681016
10.129.129.2,1697910921,10.143.3.2,1697910921,668,51793686
10.136.5.2,1697910922,10.143.3.2,1697910922,749,62672153
10.129.129.2,1697910922,10.143.3.2,1697910922,669,51795072
10.136.5.2,1697910923,10.143.3.2,1697910923,750,62671737
10.129.129.2,1697910923,10.143.3.2,1697910923,670,51795854
10.136.5.2,1697910924,10.143.3.2,1697910924,751,62699904
10.129.129.2,1697910924,10.143.3.2,1697910924,671,51816852
10.136.5.2,1697910925,10.143.3.2,1697910925,752,62685944
10.129.129.2,1697910925,10.143.3.2,1697910925,672,51791443
10.136.5.2,1697910926,10.143.3.2,1697910926,753,62670479
10.129.129.2,1697910926,10.143.3.2,1697910926,673,51796332
10.136.5.2,1697910927,10.143.3.2,1697910927,754,62648390
10.129.129.2,1697910927,10.143.3.2,1697910927,674,51796602
10.136.5.2,1697910928,10.143.3.2,1697910928,755,62705982
10.129.129.2,1697910928,10.143.3.2,1697910928,675,51810653
10.136.5.2,1697910929,10.143.3.2,1697910929,756,62685141
10.129.129.2,1697910929,10.143.3.2,1697910929,676,51793721
10.136.5.2,1697910930,10.143.3.2,1697910930,757,62693650
10.129.129.2,1697910930,10.143.3.2,1697910930,677,51795503
10.136.5.2,1697910931,10.143.3.2,1697910931,758,62691749
10.129.129.2,1697910931,10.143.3.2,1697910931,678,51793291
10.136.5.2,1697910932,10.143.3.2,1697910932,759,62652268
10.129.129.2,1697910932,10.143.3.2,1697910932,679,51804941
10.136.5.2,1697910933,10.143.3.2,1697910933,760,62650692
10.129.129.2,1697910933,10.143.3.2,1697910933,680,51792567
10.136.5.2,1697910934,10.143.3.2,1697910934,761,62651527
10.129.129.2,1697910934,10.143.3.2,1697910934,681,51795458
10.136.5.2,1697910935,10.143.3.2,1697910935,762,62674076
10.129.129.2,1697910935,10.143.3.2,1697910935,682,51793530
10.136.5.2,1697910936,10.143.3.2,1697910936,763,62659870
10.129.129.2,1697910936,10.143.3.2,1697910936,683,51816958
10.136.5.2,1697910937,10.143.3.2,1697910937,764,62681915
10.129.129.2,1697910937,10.143.3.2,1697910937,684,51798588
10.136.5.2,1697910938,10.143.3.2,1697910938,765,62663490
10.129.129.2,1697910938,10.143.3.2,1697910938,685,51793023
10.136.5.2,1697910939,10.143.3.2,1697910939,766,62677080
10.129.129.2,1697910939,10.143.3.2,1697910939,686,51814905
10.136.5.2,1697910940,10.143.3.2,1697910940,767,62662092
10.129.129.2,1697910940,10.143.3.2,1697910940,687,51811186
10.136.5.2,1697910941,10.143.3.2,1697910941,768,62660114
10.129.129.2,1697910941,10.143.3.2,1697910941,688,51808932
10.136.5.2,1697910942,10.143.3.2,1697910942,769,62684222
10.129.129.2,1697910942,10.143.3.2,1697910942,689,51794559
10.136.5.2,1697910943,10.143.3.2,1697910943,770,62703721
10.129.129.2,1697910943,10.143.3.2,1697910943,690,51793682
10.136.5.2,1697910944,10.143.3.2,1697910944,771,62669473
10.129.129.2,1697910944,10.143.3.2,1697910944,691,51793716
10.136.5.2,1697910945,10.143.3.2,1697910945,772,62696505
10.129.129.2,1697910945,10.143.3.2,1697910945,692,51817305
10.136.5.2,1697910946,10.143.3.2,1697910946,773,62666511
10.129.129.2,1697910946,10.143.3.2,1697910946,693,51808074
10.136.5.2,1697910947,10.143.3.2,1697910947,774,62702327
10.129.129.2,1697910947,10.143.3.2,1697910947,694,51810324
10.136.5.2,1697910948,10.143.3.2,1697910948,775,62651423
10.129.129.2,1697910948,10.143.3.2,1697910948,695,51796518
10.136.5.2,1697910949,10.143.3.2,1697910949,776,62703107
10.129.129.2,1697910949,10.143.3.2,1697910949,696,51828997
10.136.5.2,1697910950,10.143.3.2,1697910950,777,62666239
10.129.129.2,1697910950,10.143.3.2,1697910950,697,51794453
10.136.5.2,1697910951,10.143.3.2,1697910951,778,62660874
10.129.129.2,1697910951,10.143.3.2,1697910951,698,51796369
10.136.5.2,1697910952,10.143.3.2,1697910952,779,62673347
10.129.129.2,1697910952,10.143.3.2,1697910952,699,51796702
10.136.5.2,1697910953,10.143.3.2,1697910953,780,62668323
10.129.129.2,1697910953,10.143.3.2,1697910953,700,51797011
10.136.5.2,1697910954,10.143.3.2,1697910954,781,62667221
10.129.129.2,1697910954,10.143.3.2,1697910954,701,51811898
10.136.5.2,1697910955,10.143.3.2,1697910955,782,62700781
10.129.129.2,1697910955,10.143.3.2,1697910955,702,51799350
10.136.5.2,1697910956,10.143.3.2,1697910956,783,62683677
10.129.129.2,1697910956,10.143.3.2,1697910956,703,51808961
10.136.5.2,1697910957,10.143.3.2,1697910957,784,62684283
10.129.129.2,1697910957,10.143.3.2,1697910957,704,51792507
10.136.5.2,1697910958,10.143.3.2,1697910958,785,62670179
10.129.129.2,1697910958,10.143.3.2,1697910958,705,51805607
10.136.5.2,1697910959,10.143.3.2,1697910959,786,62677494
10.129.129.2,1697910959,10.143.3.2,1697910959,706,51794637
10.136.5.2,1697910960,10.143.3.2,1697910960,787,62671581
10.129.129.2,1697910960,10.143.3.2,1697910960,707,51792078
10.136.5.2,1697910961,10.143.3.2,1697910961,788,62655052
10.129.129.2,1697910961,10.143.3.2,1697910961,708,51800321
10.136.5.2,1697910962,10.143.3.2,1697910962,789,62660296
10.129.129.2,1697910962,10.143.3.2,1697910962,709,51797253
10.136.5.2,1697910963,10.143.3.2,1697910963,790,62687031
10.129.129.2,1697910963,10.143.3.2,1697910963,710,51809590
10.136.5.2,1697910964,10.143.3.2,1697910964,791,62674350
10.129.129.2,1697910964,10.143.3.2,1697910964,711,51816622
10.136.5.2,1697910965,10.143.3.2,1697910965,792,62693086
10.129.129.2,1697910965,10.143.3.2,1697910965,712,51794840
10.136.5.2,1697910966,10.143.3.2,1697910966,793,62670953
10.129.129.2,1697910966,10.143.3.2,1697910966,713,51793998
10.136.5.2,1697910967,10.143.3.2,1697910967,794,62660974
10.129.129.2,1697910967,10.143.3.2,1697910967,714,51798333
10.136.5.2,1697910968,10.143.3.2,1697910968,795,62674830
10.129.129.2,1697910968,10.143.3.2,1697910968,715,51796028
10.136.5.2,1697910969,10.143.3.2,1697910969,796,62691706
10.129.129.2,1697910969,10.143.3.2,1697910969,716,51794296
10.136.5.2,1697910970,10.143.3.2,1697910970,797,62700117
10.129.129.2,1697910970,10.143.3.2,1697910970,717,51791975
10.136.5.2,1697910971,10.143.3.2,1697910971,798,62639976
10.129.129.2,1697910971,10.143.3.2,1697910971,718,51793968
10.136.5.2,1697910972,10.143.3.2,1697910972,799,62676013
10.129.129.2,1697910972,10.143.3.2,1697910972,719,51835620
10.136.5.2,1697910973,10.143.3.2,1697910973,800,62666412
10.129.129.2,1697910973,10.143.3.2,1697910973,720,51795809
10.136.5.2,1697910974,10.143.3.2,1697910974,801,62677841
10.129.129.2,1697910974,10.143.3.2,1697910974,721,51831742
10.136.5.2,1697910975,10.143.3.2,1697910975,802,62653398
10.129.129.2,1697910975,10.143.3.2,1697910975,722,51795502
10.136.5.2,1697910976,10.143.3.2,1697910976,803,62654698
10.129.129.2,1697910976,10.143.3.2,1697910976,723,51793650
10.136.5.2,1697910977,10.143.3.2,1697910977,804,62651901
10.129.129.2,1697910977,10.143.3.2,1697910977,724,51791163
10.136.5.2,1697910978,10.143.3.2,1697910978,805,62722465
10.129.129.2,1697910978,10.143.3.2,1697910978,725,51793375
10.136.5.2,1697910979,10.143.3.2,1697910979,806,62668801
10.129.129.2,1697910979,10.143.3.2,1697910979,726,51794242
